time,velocity,long_creepage,yaw_angle,wear_number,lateral_displacement,lateral_creepage,spin_creepage,yaw_angle_pos,contact_angle,long_creep_force,lateral_creep_force
86.8,5.54508,0.000281965,-0.00217912,0.116904,0.00187121,8.01813e-05,0.138129,-0.00282573,0.0429859,245.385,1285.81
9.14,13.8779,-0.00161518,-0.0126832,41.0264,-0.0021079,0.00162497,1.08784,-0.000120077,0.345921,-7098.37,5443.7
96.06,5.55011,-0.000124856,0.00109488,0.0416977,-0.0011898,3.52216e-05,0.149,0.000274875,0.046276,-43.7313,1171.43
58.57,5.56411,-0.00288256,0.0111878,0.671324,-0.00339315,-0.000563598,0.159445,0.000100868,0.0494202,415.151,-1121.34
14.5,13.883,-0.00126796,-0.00648327,4.67677,-0.00330245,0.000916126,0.164274,-0.00160629,0.0508848,-2282.31,2950.95
33.45,13.8808,-0.00141927,-0.000303447,15.5958,-0.00123409,-0.000645646,0.759108,0.00243552,0.238997,-6281.48,3336.62
26.21,5.54528,-1.41358e-05,0.00178275,0.368162,-0.000598343,1.15985e-05,0.144829,-0.00107687,0.0449866,1232.83,1025.28
4.25,5.55765,-0.000138289,4.71282e-05,0.134368,-5.88766e-05,9.01376e-05,0.153714,2.3389e-05,0.0476967,-166.558,1419.58
69.8,5.55319,-0.000828032,0.0103564,6.00535,-0.00287699,-0.00016883,0.0132923,0.000821514,0.00511283,5123.43,-549.702
0.88,19.2297,-0.00990843,0.000388268,0.199548,-2.59422e-05,2.31493e-05,0.161651,0.00016998,0.0501607,-856.298,1210.49
36.51,8.32231,0.00117831,-0.0117022,0.452574,0.00321727,-0.000235539,0.232789,0.00226724,0.0720122,-963.437,1229.4
68.26,5.55047,-0.000385682,0.00689911,5.53788,-0.00132897,-0.000402961,0.0604679,-9.78382e-05,0.0196632,5001.08,-1203.15
28.71,13.8934,-0.00216752,-0.0155933,19.1479,-0.0019633,0.000494711,0.699959,0.000281774,0.219511,-7193.99,7656.07
20.43,8.34121,-0.00814843,0.0116751,14.206,-0.00452591,-0.00120394,0.022267,0.000677908,0.00753438,5887.06,-3781.72
84.46,5.54962,-0.00139351,0.00837711,1.83684,-0.00220328,-6.04627e-05,0.134764,-0.0011122,0.041843,2758.28,714.875
46.31,13.8909,8.1954e-07,-0.00400413,0.0937706,0.00200788,7.95296e-05,0.109823,0.000976209,0.0341599,-26.7409,1177.26
80.72,5.55076,0.00138373,-0.00960513,22.7138,0.00330239,0.000920384,0.783879,2.26722e-08,0.246388,-6019.57,5786.56
37.71,13.892,-0.0021894,0.00324165,17.6737,0.000202939,-0.000660203,0.0493773,-0.00515528,0.0160412,6447.86,-1133.24
74.98,5.55261,-0.00152956,0.00941368,11.4073,-0.00293267,-0.00056135,0.100195,-0.00159272,0.0317879,6485.98,-1223.16
18.04,5.55008,-0.00159854,0.00365256,1.35542,-0.000277726,-0.000138343,0.157579,-0.00150017,0.0489292,2289.97,540.601
